Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,city,state,population
Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,79282,1939,Daytona Beach,Florida,77958.0
Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,14693,1870,Louisville,Kentucky,624444.0
Bunge Limited,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",2023-03-15,1144519,1818,Chesterfield,Missouri,49327.0
C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1043277,1905,Eden Prairie,Minnesota,62476.0
Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017-09-18,813672,1988,San Jose,California,971233.0
Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",2021-03-22,1590895,1973,Reno,Nevada,273448.0
Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",2022-04-04,906345,1981,Houston,Texas,2302878.0
Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,16732,1869,Camden,New Jersey,70996.0
Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,721371,1971,Dublin,Ohio,48998.0
CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",2010-06-28,1170010,1993,Richmond,Virginia,229395.0
Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,815097,1972,Miami,Florida,449514.0
Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,1783180,"2020 (1915, United Technologies spinoff)",Palm Beach Gardens,Florida,60175.0
Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",2020-09-21,1596783,2007,Somerset,New Jersey,346875.0
Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,18230,1925,Irving,Texas,254715.0
Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1374310,1973,Chicago,Illinois,2665039.0
CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10,1138118,1906,Dallas,Texas,1299544.0
CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019-09-23,1402057,1984,Lincolnshire,Illinois,7922.0
Celanese,Materials,Specialty Chemicals,"Irving, Texas",2018-12-24,1306830,1918,Irving,Texas,254715.0
Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1140859,1985,Conshohocken,Pennsylvania,9255.0
Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1071739,1984,Saint Louis,Missouri,286578.0
CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882,Houston,Texas,2302878.0
Ceridian,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",2021-09-20,1725057,1992,Minneapolis,Minnesota,425096.0
CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1324404,1946,Deerfield,Illinois,18950.0
Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,1100682,1947,Wilmington,Massachusetts,22904.0
Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,316709,1971,Westlake,Texas,1783.0
Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091667,1993,Stamford,Connecticut,136188.0
Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879,San Ramon,California,85953.0
Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,1058090,1993,Newport Beach,California,83993.0
Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927,1847,Ewing,New Jersey,34589.0
Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30,1739940,1982,Bloomfield,Connecticut,21560.0
Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,20286,1950,Fairfield,Ohio,44456.0
Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254,1929,Mason,Ohio,35520.0
Cisco,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877,1984,San Jose,California,971233.0
Citigroup,Financials,Diversified Banks,"New York City, New York",1988-05-31,831001,1998,New York,New York,8335897.0
Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,759944,1828,Providence,Rhode Island,189563.0
Clorox,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076,1913,Oakland,California,430553.0
CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1156375,1848,Chicago,Illinois,2665039.0
CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957-03-04,811156,1886,Jackson,Michigan,31031.0
Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,21344,1886,Atlanta,Georgia,499127.0
Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290,1994,Teaneck,New Jersey,41631.0
Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957-03-04,21665,1806,New York,New York,8335897.0
Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691,1963,Philadelphia,Pennsylvania,1567258.0
Comerica,Financials,Diversified Banks,"Dallas, Texas",1995-12-01,28412,1849,Dallas,Texas,1299544.0
Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,23217,1919,Chicago,Illinois,2665039.0
ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,1163165,2002,Houston,Texas,2302878.0
Consolidated Edison,Utilities,Electric Utilities,"New York City, New York",1957-03-04,1047862,1823,New York,New York,8335897.0
Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-01,16918,1945,Victor,New York,2698.0
Constellation Energy,Utilities,Multi-Utilities,"Baltimore, Maryland",2022-02-02,1868275,1999,Baltimore,Maryland,569931.0
CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,711404,1958,San Ramon,California,85953.0
Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,900075,1982,Dallas,Texas,1299544.0
Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851,Corning,New York,10683.0
CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",2022-09-19,1057352,1987,Washington,District of Columbia,671803.0
Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,909832,1976,Issaquah,Washington,39344.0
Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,858470,2021 (1989),Houston,Texas,2302878.0
Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",2012-03-14,1051470,1994,Houston,Texas,2302878.0
CSX,Industrials,Rail Transportation,"Jacksonville, Florida",1957-03-04,277948,1980,Jacksonville,Florida,971319.0
Cummins,Industrials,Industrial Machinery & Supplies & Components,"Columbus, Indiana",1965-03-31,26172,1919,Columbus,Indiana,51268.0
CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,64803,1996,Woonsocket,Rhode Island,42942.0
D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,882184,1978,Arlington,Texas,394602.0
Danaher Corporation,Health Care,Health Care Equipment,"Washington, D.C.",1998-11-18,313616,1969,Washington,District of Columbia,671803.0
Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1995-05-31,940944,1938,Orlando,Florida,316081.0
DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,927066,1979,Denver,Colorado,713252.0
John Deere,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,315189,1837,Moline,Illinois,42028.0
Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",2013-09-11,27904,1929,Atlanta,Georgia,499127.0
Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008-11-14,818479,2016 (1969),Charlotte,North Carolina,897720.0
Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,1090012,1971,Oklahoma,Oklahoma,694800.0
Dexcom,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,1093557,1999,San Diego,California,1381162.0
Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,1539838,2007,Midland,Texas,134444.0
Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2016-05-18,1297996,2004,Austin,Texas,974447.0
Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1393612,1985,Riverwoods,Illinois,3746.0
Disney,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1744489,1923,Burbank,California,103920.0
Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",2012-12-03,29534,1939,Goodlettsville,Tennessee,17183.0
Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",2011-12-19,935703,1986,Chesapeake,Virginia,252488.0
Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983,Richmond,Virginia,229395.0
Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960,Ann Arbor,Michigan,119875.0
