Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,city,state,population
Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2019-02-27,943452,1999 (1869),Pittsburgh,Pennsylvania,302898.0
Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,1618921,2014,Deerfield,Illinois,18950.0
Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962,Bentonville,Arkansas,57868.0
Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",2022-04-11,1437107,2022 (Warner Bros. 1923),New York,New York,8335897.0
Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968,Houston,Texas,2302878.0
Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",2002-01-02,1000697,1958,Milford,Massachusetts,30196.0
WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,783325,1896,Milwaukee,Wisconsin,563305.0
Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976-06-30,72971,1852,San Francisco,California,808437.0
Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,766704,1970,Toledo,Ohio,266301.0
Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01,106040,1970,San Jose,California,971233.0
WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Atlanta, Georgia",1957-03-04,1732845,2015,Atlanta,Georgia,499127.0
Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",,106535,1900,Seattle,Washington,749256.0
Whirlpool Corporation,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911,Benton Harbor,Michigan,8943.0
Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,107263,1908,Tulsa,Oklahoma,411867.0
W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1981-06-30,277135,1927,Lake Forest,Illinois,19252.0
Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04,72903,1909,Minneapolis,Minnesota,425096.0
Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",2011-11-01,1524472,2011,White Plains,New York,59316.0
Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061,1997,Louisville,Kentucky,624444.0
Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,877212,1969,Lincolnshire,Illinois,7922.0
Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07,1136869,1927,Warsaw,Indiana,16111.0
Zions Bancorporation,Financials,Regional Banks,"Salt Lake City, Utah",2001-06-22,109380,1873,Salt Lake,Utah,204657.0
